哀恸骑士	ai tong qi shi
唤醒故军	huan xing gu jun
晃动大地	huang dong da di
荒野韵律	huang ye yun lv
毁坏巨兽	hui huai ju shou
回旋激流	hui xuan ji liu
火牲祭师	huo sheng ji shi
火树族破坏者	huo shu zu po huai zhe
疾风击	ji feng ji
疾风龙兽	ji feng long shou
即决审判	ji jue shen pan
饥渴阴魂	ji ke yin hun
击矛手	ji mao shou
激情雄辩家	ji qing xiong bian jia
集团公会法师	ji tuan gong hui fa shi
集团信使	ji tuan xin shi
尖顶漫行客	jian ding man xing ke
尖塔精怪	jian ta jing guai
尖塔破坏者	jian ta po huai zhe
尖啸盾牌	jian xiao dun pai
坚毅看门狗	jian yi kan men gou
脚灯邪鬼	jiao deng xie gui
禁伐林野兽	jin fa lin ye shou
烬火藤蔓	jin huo teng wan
紧急权力	jin ji quan li
尽礼	jin li
禁制精怪	jin zhi jing guai
镜像行进	jing xiang xing jin
警醒巨人	jing xing ju ren
拘捕守则	ju bu shou ze
居椽恶魔	ju chuan e mo
据地野猪	ju di ye zhu
巨魔种守护者	ju mo zhong shou hu zhe
巨身争斗	ju shen zheng dou
踽行废墟	ju xing fei xu
巨型造妖	ju xing zao yao
攫掠索尔兽	jue lue suo er shou
卡娅之怒	ka ya zhi nu
看管	kan guan
恐怖剧场	kong bu ju chang
空行造妖	kong hang zao yao
控驭电能	kong yu dian neng
扣留代行官	kou liu dai xing guan
苦痛洗礼盘	ku tong xi li pan
快生蜥蛙	kuai sheng xi wa
狂热猛猁	kuang re meng li
拉铎司公会门	la duo si gong hui men
拉铎司号手	la duo si hao shou
拉铎司火轮师	la duo si huo lun shi
拉铎司杂役	la duo si za yi
拉铎司坠饰	la duo si zhui shi
垃圾回收机	la ji hui shou ji
烙印	lao yin
冷酷主教	leng ku zhu jiao
力量赋礼	li liang fu li
理想境议员洁加娜	li xiang jing yi yuan jie jia na
联合公会法师	lian he gong hui fa shi
陵墓鳄鱼	ling mu e yu
掠行蟹鳗	lue xing xie man
律法师的束缚	lv fa shi de shu fu
蛮野猛击	man ye meng ji
蛮掷	man zhi
莽闯猛角兽	mang chuang meng jiao shou
门前广场	men qian guang chang
门前偷袭客	men qian tou xi ke
灭世劫前锋	mie shi jie qian feng
暮色猎豹	mu se lie bao
难破妙阵	nan po miao zhen
黏菌缠身	nian jun chan shen
怒火冲天	nu huo chong tian
欧佐夫公会门	ou zuo fu gong hui men
欧佐夫僭位卡娅	ou zuo fu jian wei ka ya
欧佐夫敲诈人	ou zuo fu qiao zha ren
欧佐夫执法者	ou zuo fu zhi fa zhe
欧佐夫坠饰	ou zuo fu zhui shi
叛行	pan xing
庞巨蜘蛛	pang ju zhi zhu
破坏魔后裔	po huai mo hou yi
破门公羊	po men gong yang
弃神僧侣	qi shen seng lv
齐心飞马	qi xin fei ma
潜行狞猫	qian xing ning mao
清空思绪	qing kong si xu
清空舞台	qing kong wu tai
全城有眼	quan cheng you yan
全面操弄	quan mian cao nong
熔护区火灵	rong hu qu huo ling
锐兹玛第狂欢人	rui zi ma di kuang huan ren
撒路里护持师	sa lu li hu chi shi
森林拂行兽	sen lin fu xing shou
鲨蛸蟹	sha xiao xie
珊瑚突击兵	shan hu tu ji bing
哨兵印记	shao bing yin ji
赦免虚灵	she mian xu ling
射手齐发	she shou qi fa
深洋生机术士	shen yang sheng ji shu shi
生机术士佣兽	sheng ji shu shi yong shou
盛怒冠角牛	sheng nu guan jiao niu
生源进化	sheng yuan jin hua
生源流浆	sheng yuan liu jiang
生长室守护者	sheng zhang shi shou hu zhe
史芬斯的洞察	shi fen si de dong cha
十会盟彩窗	shi hui meng cai chuang
十会盟圣典	shi hui meng sheng dian
十会盟史芬斯	shi hui meng shi fen si
始卡克残虐者	shi ka ke can nue zhe
什一税征收员	shi yi shui zheng shou yuan
实用生机术	shi yong sheng ji shu
首席凡妮法	shou xi fan ni fa
守责主礼人	shou ze zhu li ren
耍刀客	shua dao ke
税赋压身	shui fu ya shen
水沟骷髅妖	shui gou ku lou yao
水螅融合体	shui xi rong he ti
思想坍塌	si xiang tan ta
送上法庭	song shang fa ting
碎石掷客	sui shi zhi ke
塔顶防御	ta ding fang yu
泰莎卡洛夫	tai sha ka luo fu
天秤炽天使	tian cheng chi tian shi
天使颂赞	tian shi song zan
通天栓链	tong tian shuan lian
吞噬亚龙	tun shi ya long
瓦砾区亡命客	wa li qu wang ming ke
瓦砾区隐世魔	wa li qu yin shi mo
剜祭场呼喊	wan ji chang hu han
顽石之力	wan shi zhi li
忘念墙	wang nian qiang
亡者狂欢	wang zhe kuang huan
卫护计划	wei hu ji hua
威击	wei ji
伟柯帕吸血鬼	wei ke pa xi xue gui
瘟疫精怪	wen yi jing guai
涡旋工程师	wo xuan gong cheng shi
无神祭祠	wu shen ji ci
西哈纳引路人	xi ha na yin lu ren
锡街躲闪客	xi jie duo shan ke
析米克公会门	xi mi ke gong hui men
析米克威权	xi mi ke wei quan
析米克坠饰	xi mi ke zhui shi
蜥身混生体	xi shen hun sheng ti
吸收	xi shou
熄咒	xi zhou
险技舞者	xian ji wu zhe
仙灵斗客	xian ling dou ke
亵渎亡者	xie du wang zhe
蟹鳄龟	xie e gui
新布拉夫史芬斯	xin bu la fu shi fen si
羞愧	xiu kui
宣敕	xuan chi
喧哗祭司	xuan hua ji si
血雾渗透者	xue wu shen tou zhe
血腥墓穴	xue xing mu xue
研读瓦砾	yan du wa li
炎刃艺师	yan ren yi shi
眼线窥视	yan xian kui shi
扬砾鬼怪	yang li gui guai
野性玛卡兽	ye xing ma ka shou
野猪神烈焰	ye zhu shen lie yan
疫病老妖	yi bing lao yao
翼蜥	yi xi
预先感知	yu xian gan zhi
远见史芬斯	yuan jian shi fen si
远景烁影	yuan jing shuo ying
灾祸歌伶裘蒂丝	zai huo ge ling qiu di si
再获新生	zai huo xin sheng
灾祸行进	zai huo xing jin
再生	zai sheng
凿灵作乐	zao ling zuo yue
糟蹋	zao ta
战斗动员	zhan dou dong yuan
照亮舞台	zhao liang wu tai
褶领秘教徒	zhe ling mi jiao tu
镇场拉铎司	zhen chang la duo si
真相束环	zhen xiang shu huan
直击要害	zhi ji yao hai
炙烤剑尖	zhi kao jian jian
致乱多密	zhi luan duo mi
智者街学者	zhi zhe jie xue zhe
执着诉愿人	zhi zhuo su yuan ren
终息骑士	zhong xi qi shi
筑塔族鬼怪	zhu ta zu gui guai
坠入深渊	zhui ru shen yuan
滋生之池	zi sheng zhi chi
宗派公会法师	zong pai gong hui fa shi
