阿里三围	a li san wei
积尸地	ji shi di
甲东四墓	jia dong si mu
贾江峰	jia jiang feng
甲壳纲	jia qiao gang
江淮沿岸	jiang huai yan an
椒图	jiao tu
皆光明洞彻如坚冰也	jie guang ming dong che ru jian bing ye
解家表小姐	jie jia biao xiao jie
解九爷	jie jiu ye
解九爷执迷破局	jie jiu ye zhi mi po ju
解连环	jie lian huan
接引之花	jie yin zhi hua
解雨臣	jie yu chen
节肢动物门	jie zhi dong wu men
金刚伞	jin gang san
金缕玉衣	jin lv yu yi
靳美玲	jin mei ling
禁婆	jin po
靳庆玲	jin qing ling
金丝楠木棺	jin si nan mu guan
金丝楠木棺椁	jin si nan mu guan guo
惊天变风云难测	jing tian bian feng yun nan ce
九门老四	jiu men lao si
九门提督	jiu men ti du
九门之首	jiu men zhi shou
鸠山美志	jiu shan mei zhi
九抓勾头	jiu zhua gou tou
巨型蛇蜻蜓	ju xing she qing ting
军人	jun ren
军爷戏子拐中仙	jun ye xi zi guai zhong xian
矿洞墓穴	kuang dong mu xue
矿山墓	kuang shan mu
亏本生意	kui ben sheng yi
老九门	lao jiu men
老矿工	lao kuang gong
老痒	lao yang
李宝儿	li bao er
李国沅	li guo yuan
李乃文	li nai wen
李瑞超	li rui chao
李耀景	li yao jing
李宇峰	li yu feng
李宗翰	li zong han
梁胜权	liang sheng quan
廖志华	liao zhi hua
林国华	lin guo hua
林文炫	lin wen xuan
伶人	ling ren
凌振赫	ling zhen he
刘校妤	liu xiao yu
刘妤姻子	liu yu yin zi
六字人生	liu zi ren sheng
龙骨随葬	long gu sui zang
楼兰铁板河古尸	lou lan tie ban he gu shi
鲁巴	lu ba
陆副官	lu fu guan
鹿活草	lu huo cao
陆建勋	lu jian xun
鲁殇王	lu shang wang
卢星宇	lu xing yu
轮回庙	lun hui miao
罗盘仪	luo pan yi
洛阳铲	luo yang chan
马中骏	ma zhong jun
买死鸡	mai si ji
卖阳春面	mai yang chun mian
麦振鸿	mai zhen hong
毛译文	mao yi wen
美人算子棋通天	mei ren suan zi qi tong tian
闷油瓶	men you ping
孟宇	meng yu
莫测	mo ce
摸金	mo jin
摸金符	mo jin fu
摸金校慰	mo jin xiao wei
雮尘珠	mu chen zhu
那平三门曰贼	na ping san men yue zei
乃生物也	nai sheng wu ye
南派三叔	nan pai san shu
女尸	nv shi
盘马	pan ma
胖子	pang zi
袍褂	pao gua
彭三鞭	peng san bian
彭小冉	peng xiao ran
平三门	ping san men
瓶邪	ping xie
瓶邪王道	ping xie wang dao
七姑娘	qi gu niang
启红	qi hong
麒麟竭	qi lin jie
齐铁嘴	qi tie zui
齐铁嘴不可说破	qi tie zui bu ke shuo po
七星鲁王宫	qi xing lu wang gong
齐羽	qi yu
钱串子	qian chuan zi
乾陵	qian ling
千年不朽棺椁	qian nian bu xiu guan guo
强杀	qiang sha
乔诗语	qiao shi yu
切人头	qie ren tou
秦岭神树	qin ling shen shu
青花蟹藏情不表	qing hua xie cang qing bu biao
青铜门	qing tong men
青铜树	qing tong shu
青者如翠羽	qing zhe ru cui yu
秋彼岸	qiu bi an
裘德考	qiu de kao
邱秋	qiu qiu
人点烛	ren dian zhu
人面臁	ren mian lian
人面蛛	ren mian zhu
人头换人头	ren tou huan ren tou
任婉婧	ren wan jing
人形墓	ren xing mu
肉芝	rou zhi
肉芝状如肉	rou zhi zhuang ru rou
三八	san ba
伞兵刀	san bing dao
三船八鼓	san chuan ba gu
三行门	san hang men
三圣山	san sheng shan
三叔	san shu
三苏	san su
杀春	sha chun
商虹	shang hong
上马吊	shang ma diao
上三门	shang san men
上三门为官	shang san men wei guan
少年陈皮	shao nian chen pi
少年矿工	shao nian kuang gong
蛇眉铜鱼	she mei tong yu
沈学炜	shen xue wei
尸蹩	shi bie
尸臭魔芋	shi chou mo yu
尸花	shi hua
时怀婵	shi huai chan
尸胎	shi tai
尸香魔芋花	shi xiang mo yu hua
侍宣如	shi xuan ru
双生花	shuang sheng hua
双指探洞	shuang zhi tan dong
水鬼白	shui gui bai
水银芯	shui yin xin
四儿	si er
四六	si liu
死人墓	si ren mu
苏茂	su mao
俗人如蚁	su ren ru yi
算花儿爷	suan hua er ye
算尽天机一声叹	suan jin tian ji yi sheng tan
算命人	suan ming ren
孙铭俊	sun ming jun
索罗门王宝藏	suo luo men wang bao zang
泰坦魔芋花	tai tan mo yu hua
谭建文	tan jian wen
汤祈岑	tang qi cen
唐勇楠	tang yong nan
天官赐福	tian guan ci fu
天冷	tian leng
天真	tian zhen
田中良子	tian zhong liang zi
铁棺椁	tie guan guo
铁三角	tie san jiao
铁头龙王	tie tou long wang
听奴	ting nu
铜缕玉衣	tong lv yu yi
童晓梅	tong xiao mei
头发墓	tou fa mu
头尾具有	tou wei ju you
土夫子	tu fu zi
团子虫	tuan zi chong
托林寺	tuo lin si
万奴王	wan nu wang
王滨	wang bin
汪藏海	wang cang hai
王闯	wang chuang
王冠	wang guan
王建军	wang jian jun
王军	wang jun
王美人	wang mei ren
王盟	wang meng
王敏纳	wang min na
王笑一	wang xiao yi
王月半	wang yue ban
王梓桐	wang zi tong
唯恋寡嫂成奇闻	wei lian gua sao cheng qi wen
我门	wo men
无脊椎动物	wu ji zhui dong wu
五九	wu jiu
吴老狗	wu lao gou
吴老狗笑面若佛	wu lao gou xiao mian ruo fo
吴丽	wu li
五七	wu qi
武藤一郎	wu teng yi lang
吴五爷	wu wu ye
吴邪	wu xie
西瓜虫	xi gua chong
巂腊	xi la
西王母	xi wang mu
西王母墓	xi wang mu mu
西夏王陵	xi xia wang ling
夕阳鬼棺	xi yang gui guan
下地	xia di
下三门	xia san men
下三门经商	xia san men jing shang
小葵	xiao kui
鸮形目	xiao xing mu
小者三四斤	xiao zhe san si jin
谢九爷	xie jiu ye
解雨臣	xie yu chen
解语花	xie yu hua
行兵蚁	xing bing yi
虚空丈量临湘城	xu kong zhang liang lin xiang cheng
悬魂梯	xuan hun ti
薛文华	xue wen hua
殉葬渠	xun zang qu
丫头	ya tou
阎罗浪子笑面佛	yan luo lang zi xiao mian fo
杨婧妤	yang jing yu
杨天翔	yang tian xiang
杨向华	yang xiang hua
杨雪	yang xue
杨紫茳	yang zi jiang
叶方仓	ye fang cang
冶炼人	ye lian ren
一八	yi ba
一百文买名	yi bai wen mai ming
一统山河际太平	yi tong shan he ji tai ping
一五	yi wu
遗物	yi wu
一印定乾坤	yi yin ding qian kun
一月花开二月红	yi yue hua kai er yue hong
尹大伯	yin da bo
银缕玉衣	yin lv yu yi
音频怪物	yin pin guai wu
尹新月	yin xin yue
应昊茗	ying hao ming
鱼骨庙	yu gu miao
鱼在我这里	yu zai wo zhe li
玉质胎儿	yu zhi tai er
袁冰妍	yuan bing yan
月满湘江	yue man xiang jiang
月夜赴黎明	yue ye fu li ming
云彩	yun cai
云顶天宫里面	yun ding tian gong li mian
云胎	yun tai
札达县	zha da xian
张春仲	zhang chun zhong
张大佛爷	zhang da fo ye
张家少年	zhang jia shao nian
张杰	zhang jie
张磊	zhang lei
张鲁一	zhang lu yi
张铭恩	zhang ming en
张起灵	zhang qi ling
张启山	zhang qi shan
张瑞桐	zhang rui tong
张世杰	zhang shi jie
张艺兴	zhang yi xing
张语芯	zhang yu xin
张鸢盎	zhang yuan ang
赵丽颖	zhao li ying
照明弹	zhao ming dan
哲罗鲑	zhe luo gui
镇尸古镜	zhen shi gu jing
郑国霖	zheng guo lin
正如杯中酒	zheng ru bei zhong jiu
正如花下风流	zheng ru hua xia feng liu
正如烟上月	zheng ru yan shang yue
芝加哥打字机	zhi jia ge da zi ji
钟志鹏	zhong zhi peng
周佩萱	zhou pei xuan
周小飞	zhou xiao fei
周旋寰转慑容威	zhou xuan huan zhuan she rong wei
烛九阴	zhu jiu yin
猪脸蝙蝠	zhu lian bian fu
粽子	zong zi
邹廷威	zou ting wei
最后一节车厢	zui hou yi jie che xiang
左小龙	zuo xiao long
