阿言	a yan
傀儡	kui lei
魁隗堂	kui wei tang
狼毒	lang du
狼族	lang zu
离魂丹	li hun dan
丽姬	li ji
李牧	li mu
李斯	li si
炼丹房	lian dan fang
炼丹炉	lian dan lu
涟衣	lian yi
烈山堂	lie shan tang
刘邦	liu bang
刘季	liu ji
六剑奴	liu jian nu
流沙	liu sha
流沙刺客团	liu sha ci ke tuan
六指	liu zhi
六指黑侠	liu zhi hei xia
龙且	long qie
龙且将军	long qie jiang jun
龙游之气	long you zhi qi
乱神	luan shen
罗马军队	luo ma jun dui
罗网	luo wang
罗网刺客	luo wang ci ke
罗网刺客团	luo wang ci ke tuan
罗网杀手	luo wang sha shou
梅三娘	mei san niang
蒙恬	meng tian
迷廊	mi lang
芈启	mi qi
灭魂	mie hun
明鬼绳结	ming gui sheng jie
墨家	mo jia
墨家巨子	mo jia ju zi
墨眉	mo mei
墨农之约	mo nong zhi yue
莫邪	mo ye
木虚子	mu xu zi
逆流沙	ni liu sha
聂蓉	nie rong
农家	nong jia
农家第一智囊	nong jia di yi zhi nang
农家六堂	nong jia liu tang
诺敏	nuo min
女管仲	nv guan zhong
庖丁	pao ding
漂流	piao liu
齐国	qi guo
千泷	qian long
千人千面	qian ren qian mian
秦国	qin guo
秦皇	qin huang
秦皇东巡	qin huang dong xun
秦始皇	qin shi huang
青龙计划	qing long ji hua
秋枯之力	qiu ku zhi li
秋骊	qiu li
却邪	que xie
人宗	ren zong
儒家	ru jia
三足金乌	san zu jin wu
桑海城	sang hai cheng
鲨齿剑	sha chi jian
少司命	shao si ming
少羽	shao yu
摄魂术	she hun shu
沈乐平	shen le ping
蜃楼	shen lou
蜃楼东渡	shen lou dong du
神农令	shen nong ling
神农堂	shen nong tang
神农堂朱家	shen nong tang zhu jia
胜七	sheng qi
始皇陛下	shi huang bi xia
石兰	shi lan
噬牙狱	shi ya yu
蜀山	shu shan
水将	shui jiang
四季镇	si ji zhen
司徒万里	si tu wan li
四岳堂	si yue tang
酥魂香	su hun xiang
太阳武士	tai yang wu shi
太子丹	tai zi dan
太子燕丹	tai zi yan dan
桃花林	tao hua lin
腾龙军团	teng long jun tuan
田赐	tian ci
田光	tian guang
田虎	tian hu
田猛	tian meng
田蜜	tian mi
天明	tian ming
田言	tian yan
田仲	tian zhong
天字杀手	tian zi sha shou
天宗	tian zong
天宗掌门	tian zong zhang men
铁娘子	tie niang zi
铜人阵	tong ren zhen
头曼	tou man
头曼单于	tou man chan yu
头曼城	tou man cheng
王道	wang dao
魍魉	wang liang
亡秦者胡	wang qin zhe hu
卫国	wei guo
魏国	wei guo
魏武卒	wei wu zu
卫庄	wei zhuang
西楚霸王	xi chu ba wang
侠道	xia dao
侠魁	xia kui
夏荣剑意	xia rong jian yi
咸阳城	xian yang cheng
湘夫人	xiang fu ren
湘君	xiang jun
项梁	xiang liang
项少羽	xiang shao yu
项燕	xiang yan
项羽	xiang yu
晓梦	xiao meng
晓梦大师	xiao meng da shi
小圣贤庄	xiao sheng xian zhuang
逍遥子	xiao yao zi
小虞	xiao yu
星魂	xing hun
匈奴	xiong nu
匈奴王	xiong nu wang
徐夫子	xu fu zi
悬剪	xuan jian
玄翦	xuan jian
玄门	xuan men
雪霁	xue ji
雪女	xue nv
荀子	xun zi
哑奴	ya nu
燕丹	yan dan
炎帝六贤冢	yan di liu xian zhong
焱妃	yan fei
燕国	yan guo
颜路	yan lu
掩日	yan ri
揜日	yan ri
眼杀无眼	yan sha wu yan
燕太子丹	yan tai zi dan
燕太子妃	yan tai zi fei
燕王喜	yan wang xi
药人	yao ren
夜明珠	ye ming zhu
移魂术	yi hun shu
以剑论道	yi jian lun dao
易水	yi shui
隐蝠	yin fu
阴阳家	yin yang jia
阴阳视界	yin yang shi jie
英布	ying bu
硬功	ying gong
荧惑守心	ying huo shou xin
荧惑之石	ying huo zhi shi
影密卫	ying mi wei
鹰扬号	ying yang hao
嬴政	ying zheng
御鬼丹	yu gui dan
虞子期	yu zi qi
月光	yue guang
月狼草	yue lang cao
月狼之裔	yue lang zhi yi
月神	yue shen
越王八剑	yue wang ba jian
云霄阁	yun xiao ge
云中君	yun zhong jun
章邯	zhang han
张恒远	zhang heng yuan
张良	zhang liang
张信哲	zhang xin zhe
赵高	zhao gao
赵国	zhao guo
罩门	zhao men
真刚	zhen gang
真钢	zhen gang
真人丹	zhen ren dan
钟离昧	zhong li mei
钟离眜	zhong li mo
朱家	zhu jia
朱堂主	zhu tang zhu
转魂	zhuan hun
转魄	zhuan po
庄叔	zhuang shu
紫贝水阁	zi bei shui ge
子房	zi fang
子明	zi ming
子慕	zi mu
紫女	zi nv
子思	zi si
子羽	zi yu
纵横	zong heng
纵横捭阖	zong heng bai he
纵横家	zong heng jia
