百岁松	bai sui song
迷离天	mi li tian
溟烟聚	ming yan ju
摩诃寺	mo he si
漠烬	mo jin
慕容紫苑	mu rong zi yuan
南越洲	nan yue zhou
琵琶郡	pi pa jun
平溪镇	ping xi zhen
屏音涧	ping yin jian
破谷	po gu
七宝琉璃	qi bao liu li
七宝琉璃珠	qi bao liu li zhu
乾坤坛	qian kun tan
千潋里	qian lian li
勤政殿	qin zheng dian
磬苍峰	qing cang feng
青城山庄	qing cheng shan zhuang
青徽阁	qing hui ge
清徽宫	qing hui gong
青石都	qing shi dou
磬天石台	qing tian shi tai
青霄玉女	qing xiao yu nv
青要山	qing yao shan
倾夜宫	qing ye gong
情狱	qing yu
汝夷	ru yi
汝夷国	ru yi guo
弱水彼岸	ruo shui bi an
桑榆村	sang yu cun
珊瑚湾	shan hu wan
上古之地	shang gu zhi di
殇炀	shang yang
涉雪初尘	she xue chu chen
十二重天	shi er chong tian
失却之城	shi que zhi cheng
守湾神女	shou wan shen nv
霜封岱岩	shuang feng dai yan
水琅宫	shui lang gong
水琅之渊	shui lang zhi yuan
水天之极	shui tian zhi ji
水湾公寓	shui wan gong yu
水心神镜	shui xin shen jing
四怨冥姝	si yuan ming shu
太古之地	tai gu zhi di
太极殿	tai ji dian
太乙山	tai yi shan
天盛	tian sheng
天盛国际	tian sheng guo ji
听心石	ting xin shi
铜雀街	tong que jie
娲皇墓	wa huang mu
娲皇木	wa huang mu
万骨台	wan gu tai
万劫崖	wan jie ya
万灵栈	wan ling zhan
万妖域	wan yao yu
忘川	wang chuan
妄情	wang qing
妄情界	wang qing jie
妄情魔宫	wang qing mo gong
妄狱	wang yu
无尘	wu chen
无尘界	wu chen jie
无尘天牢	wu chen tian lao
巫蛮	wu man
无名渊	wu ming yuan
乌霞洞	wu xia dong
五重桑	wu zhong sang
夕慈	xi ci
夕慈宫	xi ci gong
西方魔都	xi fang mo du
西陵	xi ling
西陵王宫	xi ling wang gong
西水桥	xi shui qiao
西夷洲	xi yi zhou
夕照街	xi zhao jie
仙巻阁	xian juan ge
心城	xin cheng
心城传媒	xin cheng chuan mei
心城区	xin cheng qu
心传	xin chuan
心狱	xin yu
绣楼	xiu lou
玄冰邸	xuan bing di
玄灵窟	xuan ling ku
玄女庙	xuan nv miao
玄铁黑莲	xuan tie hei lian
轩辕帝尊殿	xuan yuan di zun dian
轩辕天帝	xuan yuan tian di
雪嫣谷	xue yan gu
雪忆	xue yi
雪忆仙缘	xue yi xian yuan
雪忆心城	xue yi xin cheng
巽部	xun bu
焰寒丘	yan han qiu
盐枯山	yan ku shan
演绎区	yan yi qu
演员工会	yan yuan gong hui
邀柳溪	yao liu xi
遥香境	yao xiang jing
忆度	yi du
忆度娱乐	yi du yu le
懿霞宫	yi xia gong
意暄亭	yi xuan ting
阴阳林	yin yang lin
殷夷边界	yin yi bian jie
隐月	yin yue
隐月教	yin yue jiao
永宁宫	yong ning gong
幽风谷	you feng gu
幽海	you hai
幽冥九门	you ming jiu men
幽藻池	you zao chi
玉瑚岩	yu hu yan
玉凰殿	yu huang dian
玉蛟渊	yu jiao yuan
虞山古墓	yu shan gu mu
虞山镇	yu shan zhen
玉虚观	yu xu guan
狱焰关	yu yan guan
云藩镇	yun fan zhen
云来客栈	yun lai ke zhan
云惜碧岛	yun xi bi dao
昭王府	zhao wang fu
震部	zhen bu
中原域	zhong yuan yu
主场演绎	zhu chang yan yi
诛绝洞	zhu jue dong
朱霞镇	zhu xia zhen
朱颜莫负	zhu yan mo fu
紫琼花都	zi qiong hua dou
紫藤林	zi teng lin
自闲湖	zi xian hu
紫烟宫	zi yan gong
