百年国恨	bai nian guo hen
但必以取势为根本	dan bi yi qu shi wei gen ben
但不要放肆	dan bu yao fang si
但有能出长策奇计	dan you neng chu chang ce qi ji
但与人评	dan yu ren ping
当初本宫侍奉我王时	dang chu ben gong shi feng wo wang shi
当此之时	dang ci zhi shi
当今之世	dang jin zhi shi
当王天下	dang wang tian xia
当真如此滑稽	dang zhen ru ci hua ji
德行乃为政之末	de xing nai wei zheng zhi mo
砥砺心志	di li xin zhi
地小民少	di xiao min shao
点点渔火不同眠	dian dian yu huo bu tong mian
断少数人财路	duan shao shu ren cai lu
对手实力强大	dui shou shi li qiang da
尔等只是沧海之一粟	er deng zhi shi cang hai zhi yi su
而己竟不知强人之所在	er ji jing bu zhi qiang ren zhi suo zai
而今律法在前	er jin lv fa zai qian
而目下之秦国	er mu xia zhi qin guo
而使秦国恢复穆公霸业者	er shi qin guo hui fu mu gong ba ye zhe
而停之	er ting zhi
而眼下秦国	er yan xia qin guo
而在力行	er zai li xing
而在推行中各有侧重	er zai tui xing zhong ge you ce zhong
而这三强	er zhe san qiang
而终至拜将入相	er zhong zhi bai jiang ru xiang
法贵时效	fa gui shi xiao
法家何派	fa jia he pai
法家强国	fa jia qiang guo
法家三派	fa jia san pai
法家术治派	fa jia shu zhi pai
法立如山	fa li ru shan
法令半新半旧	fa ling ban xin ban jiu
法外无恩	fa wai wu en
法治成家成派	fa zhi cheng jia cheng pai
法治也好	fa zhi ye hao
范雎	fan ju
方得其所	fang de qi suo
方为无价至宝	fang wei wu jia zhi bao
放眼天下	fang yan tian xia
粉身碎骨	fen shen sui gu
否则便是空谈大道贻误天下	fou ze bian shi kong tan da dao yi wu tian xia
伏草惟存	fu cao wei cun
府库财货日见空空	fu ku cai huo ri jian kong kong
府库充盈	fu ku chong ying
府库空空	fu ku kong kong
复我河山	fu wo he shan
付之一笑也是天下	fu zhi yi xiao ye shi tian xia
夫子大谬	fu zi da miu
夫子断章取义	fu zi duan zhang qu yi
夫子立论无据	fu zi li lun wu ju
夫子论学先定罪	fu zi lun xue xian ding zui
夫子无视法家根本	fu zi wu shi fa jia gen ben
夫子有意抹煞根本	fu zi you yi mo sha gen ben
甘茂	gan mao
高英	gao ying
更乏其心	geng fa qi xin
更有苦	geng you ku
共赴国难	gong fu guo nan
攻其一点不及其余	gong qi yi dian bu ji qi yu
公如青山	gong ru qing shan
工田不振	gong tian bu zhen
共享秦国	gong xiang qin guo
公之雄心图霸小矣	gong zhi xiong xin tu ba xiao yi
狗盗	gou dao
孤舟一叶兮	gu zhou yi ye xi
故自安者	gu zi an zhe
官被君围	guan bei jun wei
关山四固	guan shan si gu
关中土地平坦	guan zhong tu di ping tan
国被天下围	guo bei tian xia wei
国耻族恨	guo chi zu hen
国家之幸	guo jia zhi xing
国库空空	guo ku kong kong
国弱民穷	guo ruo min qiong
国势有成	guo shi you cheng
函关易手	han guan yi shou
韩聂	han nie
韩徐为	han xu wei
好生吃喝	hao sheng chi he
何曾意气	he ceng yi qi
何得康宁	he de kang ning
何得康甯	he de kang ning
何乐而不为	he le er bu wei
何其浅薄哉	he qi qian bo zai
何树标	he shu biao
何谓综合国力	he wei zong he guo li
河西尽失	he xi jin shi
何以秦据渭水数百年	he yi qin ju wei shui shu bai nian
何以在秦数百年	he yi zai qin shu bai nian
合纵锁函谷	he zong suo han gu
何足论之	he zu lun zhi
横强扫六合	heng qiang sao lu he
横扫六合	heng sao lu he
胡佳旭	hu jia xu
胡伤	hu shang
护卫皆斩	hu wei jie zhan
化腐为金	hua fu wei jin
华阳	hua yang
化做了淡梦寒烟	hua zuo le dan meng han yan
黄歇	huang xie
回到夏商周三代	hui dao xia shang zhou san dai
贿赂就会风行	hui lu jiu hui feng xing
霍青	huo qing
鸡鸣	ji ming
济万物	ji wan wu
稷下学宫言无不尽	ji xia xue gong yan wu bu jin
纪永清	ji yong qing
季子	ji zi
甲兵老旧	jia bing lao jiu
甲兵强盛	jia bing qiang sheng
家远人单	jia yuan ren dan
见识太浅	jian shi tai qian
减刑溃法	jian xing kui fa
将乱世罪孽归于法墨兵三家	jiang luan shi zui nie gui yu fa mo bing san jia
将治世之功归于人性之善	jiang zhi shi zhi gong gui yu ren xing zhi shan
焦俊翔	jiao jun xiang
焦阳	jiao yang
皆非根本之强	jie fei gen ben zhi qiang
皆环环相围而生	jie huan huan xiang wei er sheng
竭尽其力	jie jin qi li
皆以认同法治为根本	jie yi ren tong fa zhi wei gen ben
进而骄其学	jin er jiao qi xue
禁劳民伤财之风	jin lao min shang cai zhi feng
金钱乃人世流火	jin qian nai ren shi liu huo
靳尚	jin shang
金盛宇	jin sheng yu
敬那大争之世	jing na da zheng zhi shi
敬那小酌之时	jing na xiao zhuo zhi shi
敬犀首	jing xi shou
敬张子	jing zhang zi
敬这大争之世	jing zhe da zheng zhi shi
敬这小酌之时	jing zhe xiao zhuo zhi shi
纠纠不倒	jiu jiu bu dao
纠纠老秦	jiu jiu lao qin
赳赳老秦	jiu jiu lao qin
就是动刀子前的动作	jiu shi dong dao zi qian de dong zuo
就是为杜绝此等腐败风习	jiu shi wei du jue ci deng fu bai feng xi
就要走根本强大之路	jiu yao zou gen ben qiang da zhi lu
就在于没有综合混一的强大国力	jiu zai yu mei you zong he hun yi de qiang da guo li
飓风过岗	ju feng guo gang
居高官	ju gao guan
据山川形胜而沦丧	ju shan chuan xing sheng er lun sang
决不负君	jue bu fu jun
绝不为自己安身立命谋职谋路	jue bu wei zi ji an shen li ming mou zhi mou lu
崛起	jue qi
君被国围	jun bei guo wei
君不识我	jun bu shi wo
君命如此	jun ming ru ci
君上洞若观火	jun shang dong ruo guan huo
君上有何评判	jun shang you he ping pan
君为青山	jun wei qing shan
君之热血	jun zhi re xue
堪称强国	kan cheng qiang guo
可望有成也	ke wang you cheng ye
可为何秦国却没有一支攻必克	ke wei he qin guo que mei you yi zhi gong bi ke
可为何秦据渭水数百年	ke wei he qin ju wei shui shu bai nian
可谓天赐佳水	ke wei tian ci jia shui
可要改弦易辙	ke yao gai xian yi zhe
苛政猛于虎而已	ke zheng meng yu hu er yi
孔孟毕生求之	kong meng bi sheng qiu zhi
孔孟为天下求一仁	kong meng wei tian xia qiu yi ren
苦茶一盏	ku cha yi zhan
困辱尽尝	kun ru jin chang
老楚王	lao chu wang
老夫未尝闻也	lao fu wei chang wen ye
老夫愿闻足下性恶之说	lao fu yuan wen zu xia xing e zhi shuo
老龙贾不禁一个激灵	lao long jia bu jin yi ge ji ling
老秦人朴实厚重	lao qin ren pu shi hou zhong
李冰	li bing
李兑	li dui
李二郎	li er lang
李槐龙	li huai long
历来不以德行操守论人	li lai bu yi de xing cao shou lun ren
立论当有理有据	li lun dang you li you ju
李明晨	li ming chen
立清正廉洁之俗	li qing zheng lian jie zhi su
李元	li yuan
连年苦战	lian nian ku zhan
廉颇	lian po
两行老泪夺眶而出	liang hang lao lei duo kuang er chu
良禽固然择木	liang qin gu ran ze mu
廖伟	liao wei
列国卑秦	lie guo bei qin
列国伐交频频	lie guo fa jiao pin pin
辚辚远去	lin lin yuan qu
蔺相如	lin xiang ru
林秀强	lin xiu qiang
领国政	ling guo zheng
六国各异	liu guo ge yi
六国旧制不可救	liu guo jiu zhi bu ke jiu
刘辉	liu hui
刘军	liu jun
刘乃艺	liu nai yi
流水已逝	liu shui yi shi
楼缓	lou huan
鲁佳	lu jia
碌碌无为	lu lu wu wei
沦为鱼肉	lun wei yu rou
罗天佑	luo tian you
吕文军	lv wen jun
马赛	ma sai
马小宁	ma xiao ning
茫茫中国代有人才	mang mang zhong guo dai you ren cai
毛遂	mao sui
美如玉	mei ru yu
每一户人家的窗台	mei yi hu ren jia de chuang tai
没有多少年了	mei you duo shao nian le
蒙骜	meng ao
蒙蔽幼稚	meng bi you zhi
孟夫子空言性本善	meng fu zi kong yan xing ben shan
孟夫子如此断言	meng fu zi ru ci duan yan
芈横	mi heng
芈老宦	mi lao huan
芈戎	mi rong
芈琰	mi yan
芈原	mi yuan
庙堂如此	miao tang ru ci
民被官围	min bei guan wei
民心安稳	min xin an wen
民勇公战	min yong gong zhan
民众会不满	min zhong hui bu man
明君吏治之强	ming jun li zhi zhi qiang
名士暮年	ming shi mu nian
名士无冠	ming shi wu guan
名为法制	ming wei fa zhi
明一者皇	ming yi zhe huang
明月作证	ming yue zuo zheng
莫大于此	mo da yu ci
莫说为时太晚	mo shuo wei shi tai wan
谋得兵胜者霸	mou de bing sheng zhe ba
乃参透天地人者	nai can tou tian di ren zhe
乃法家精义之学	nai fa jia jing yi zhi xue
内乱频出	nei luan pin chu
能者上	neng zhe shang
你们可以放牧	ni men ke yi fang mu
你是何人	ni shi he ren
年年辛苦	nian nian xin ku
宁静	ning jing
宁可不愿生在王族	ning ke bu yuan sheng zai wang zu
宁露	ning lu
农工兴旺	nong gong xing wang
努而习之	nu er xi zhi
彭波	peng bo
彭国斌	peng guo bin
彭建明	peng jian ming
凭据有三	ping ju you san
棋道	qi dao
起伏震荡不定	qi fu zhen dang bu ding
其根同一	qi gen tong yi
齐国范式	qi guo fan shi
其后诸君不贤	qi hou zhu jun bu xian
其理同一	qi li tong yi
其论断之轻率无以复加	qi lun duan zhi qing shuai wu yi fu jia
其实又有何喜何恼	qi shi you you he xi he nao
齐涛	qi tao
泣涕如雨	qi ti ru yu
齐王	qi wang
其心也蠢	qi xin ye chun
棋以围命名	qi yi wei ming ming
千秋功罪	qian qiu gong zui
强不能守定心志	qiang bu neng shou ding xin zhi
强国范式不同	qiang guo fan shi bu tong
强国何须借代而生	qiang guo he xu jie dai er sheng
强国之道	qiang guo zhi dao
强化查勘官吏	qiang hua cha kan guan li
强力乃国家之本	qiang li nai guo jia zhi ben
强则强	qiang ze qiang
切莫悲悯自己	qie mo bei min zi ji
且欲分秦灭秦而后快	qie yu fen qin mie qin er hou kuai
秦国要崛起	qin guo yao jue qi
秦能敌否	qin neng di fou
秦人穷困	qin ren qiong kun
秦人硬骨	qin ren ying gu
秦始由大国而僻处一隅	qin shi you da guo er pi chu yi yu
秦宣太后	qin xuan tai hou
秦有锐士	qin you rui shi
秦昭襄王	qin zhao xiang wang
青山如黛兮	qing shan ru dai xi
青史只论成败	qing shi zhi lun cheng bai
邱东江	qiu dong jiang
秋风掠过原野	qiu feng lue guo yuan ye
渠梁愿闻强国之道	qu liang yuan wen qiang guo zhi dao
渠梁愿闻先生新论	qu liang yuan wen xian sheng xin lun
屈原	qu yuan
权力功业如战场	quan li gong ye ru zhan chang
却按兵不动	que an bing bu dong
却荒芜薄收	que huang wu bo shou
却磨其心	que mo qi xin
却坐失鱼盐航运之利	que zuo shi yu yan hang yun zhi li
然而如何啊	ran er ru he a
然非正道	ran fei zheng dao
然无奈悲苦之一生	ran wu nai bei ku zhi yi sheng
然有自安者	ran you zi an zhe
然则美梦成真	ran ze mei meng cheng zhen
仁不能取予自如	ren bu neng qu yu zi ru
人口众多	ren kou zhong duo
人情冷暖	ren qing leng nuan
人人可论	ren ren ke lun
人世无常	ren shi wu chang
人性本恶	ren xing ben e
人性本善	ren xing ben shan
人性才能向善有序	ren xing cai neng xiang shan you xu
人性之恶	ren xing zhi e
人烟稀少	ren yan xi shao
仁政井田不可复	ren zheng jing tian bu ke fu
人治也好	ren zhi ye hao
人治与复古之论	ren zhi yu fu gu zhi lun
仍需努力	reng xu nu li
如此邦国	ru ci bang guo
如何能以今日之志	ru he neng yi jin ri zhi zhi
如何如何	ru he ru he
如日方升	ru ri fang sheng
如日方生	ru ri fang sheng
如若比肩	ru ruo bi jian
如若大秦	ru ruo da qin
如因不堪受其磨而弃之	ru yin bu kan shou qi mo er qi zhi
如与他人比肩	ru yu ta ren bi jian
若能遇见斗沙片刻之美好	ruo neng yu jian dou sha pian ke zhi mei hao
若嬴稷可以选	ruo ying ji ke yi xuan
若赢稷可以选	ruo ying ji ke yi xuan
弱则亡	ruo ze wang
三道玄谈	san dao xuan tan
三关能过	san guan neng guo
三横乃天地人	san heng nai tian di ren
三横一竖	san heng yi shu
山河广袤之强	shan he guang mao zhi qiang
上古造字	shang gu zao zi
商人无恩	shang ren wu en
尚武之风深植朝野	shang wu zhi feng shen zhi chao ye
少年寒窗苦读	shao nian han chuang ku du
少年时总是在意别人	shao nian shi zong shi zai yi bie ren
少之其实	shao zhi qi shi
社稷昌盛	she ji chang sheng
谁与争雄	shei yu zheng xiong
沈保平	shen bao ping
神大于形者智	shen da yu xing zhe zhi
身后之名	shen hou zhi ming
沈佳妮	shen jia ni
甚者辱	shen zhe ru
生不带来	sheng bu dai lai
省多数人钱财	sheng duo shu ren qian cai
生而贪欲	sheng er tan yu
生而有奢望	sheng er you she wang
生恒爱之	sheng heng ai zhi
生恒敬之	sheng heng jing zhi
生死相扶	sheng si xiang fu
势卑则围小	shi bei ze wei xiao
势高则围广	shi gao ze wei guang
世间事	shi jian shi
世间万物	shi jian wan wu
视人不如己	shi ren bu ru ji
事虽相异	shi sui xiang yi
实为人治	shi wei ren zhi
是为王	shi wei wang
是谓王	shi wei wang
视学为无物	shi xue wei wu wu
是在行法根基之上着重整肃吏治	shi zai hang fa gen ji zhi shang zhuo zhong zheng su li zhi
十指相扣便是良辰	shi zhi xiang kou bian shi liang chen
守富饶土地而贫穷	shou fu rao tu di er pin qiong
殊异乎公族	shu yi hu gong zu
谁便是正道	shui bian shi zheng dao
谁能融入大争潮流而强国富民	shui neng rong ru da zheng chao liu er qiang guo fu min
说的话是假的	shuo de hua shi jia de
死不带去	si bu dai qu
死不休战	si bu xiu zhan
私斗成风	si dou cheng feng
司马错	si ma cuo
四世政昏	si shi zheng hun
送官府	song guan fu
宋重东	song zhong dong
苏秦	su qin
苏秦全力救之	su qin quan li jiu zhi
苏秦为天下求一公	su qin wei tian xia qiu yi gong
苏一	su yi
虽华而绚丽	sui hua er xuan li
隋眳杨	sui ming yang
虽能乐己	sui neng le ji
虽以围地为归宿	sui yi wei di wei gui su
虽有败	sui you bai
虽有成败	sui you cheng bai
虽有天命	sui you tian ming
虽欲学吾术	sui yu xue wu shu
孙翰文	sun han wen
孙皓辉	sun hao hui
孙强	sun qiang
所谓王者	suo wei wang zhe
唐八子	tang ba zi
桃李满天下	tao li man tian xia
天地间真英雄也	tian di jian zhen ying xiong ye
田凯	tian kai
天命星象从不垂怜弱者	tian ming xing xiang cong bu chui lian ruo zhe
田文	tian wen
天下被宇宙围	tian xia bei yu zhou wei
天下纷扰	tian xia fen rao
天下人生而好利	tian xia ren sheng er hao li
天下士子听了	tian xia shi zi ting le
天下学派皆有分支	tian xia xue pai jie you fen zhi
天下治道不在空谈	tian xia zhi dao bu zai kong tan
铁马冰河	tie ma bing he
通德者王	tong de zhe wang
痛而持之	tong er chi zhi
铜臭如粪土	tong xiu ru fen tu
外患交迫	wai huan jiao po
王道不行	wang dao bu xing
王海平	wang hai ping
王龁	wang he
王侯将相	wang hou jiang xiang
王绘春	wang hui chun
王稽	wang ji
王上可曾见过世间至善至美	wang shang ke ceng jian guo shi jian zhi shan zhi mei
王上可曾有心头至爱	wang shang ke ceng you xin tou zhi ai
王双宝	wang shuang bao
妄图安之	wang tu an zhi
忘我实多	wang wo shi duo
王小毅	wang xiao yi
亡羊补牢未曾可知	wang yang bu lao wei ceng ke zhi
王者之仁义	wang zhe zhi ren yi
王者尊之	wang zhe zun zhi
王梓桐	wang zi tong
王族的血是冷的	wang zu de xue shi leng de
魏丑夫	wei chou fu
唯法适从	wei fa shi cong
魏国范式甲兵财货之强	wei guo fan shi jia bing cai huo zhi qiang
魏华	wei hua
未见君子	wei jian jun zi
唯借不赐	wei jie bu ci
魏伶优	wei ling you
魏齐楚三强范式	wei qi chu san qiang fan shi
魏冉	wei ran
为商之道	wei shang zhi dao
渭水汤汤	wei shui shang shang
渭水滔滔	wei shui tao tao
为天下立制	wei tian xia li zhi
为天下列强所无	wei tian xia lie qiang suo wu
为万民立法	wei wan min li fa
卫先生	wei xian sheng
唯学为正道	wei xue wei zheng dao
为学之本却在于此	wei xue zhi ben que zai yu ci
卫鞅孟子论战	wei yang meng zi lun zhan
卫鞅唯告夫子	wei yang wei gao fu zi
卫鞅之志	wei yang zhi zhi
唯以实力见长	wei yi shi li jian zhang
魏优旃	wei you zhan
我不识君	wo bu shi jun
我大秦的明月	wo da qin de ming yue
我大秦的明月必朗照之	wo da qin de ming yue bi lang zhao zhi
我等却要下不为例	wo deng que yao xia bu wei li
我法家法治派名士	wo fa jia fa zhi pai ming shi
我如松柏	wo ru song bai
我为松柏	wo wei song bai
我心何缺	wo xin he que
我心伤悲	wo xin shang bei
沃野千里	wo ye qian li
武安君	wu an jun
五百年一卷雄文	wu bai nian yi juan xiong wen
吾辈为学	wu bei wei xue
无法长期聚集国力而稳定强大	wu fa chang qi ju ji guo li er wen ding qiang da
无非是要重申仁政	wu fei shi yao chong shen ren zheng
吴连生	wu lian sheng
无纳可贡	wu na ke gong
务求国家实力增长	wu qiu guo jia shi li zeng zhang
务求激励朝野士气	wu qiu ji li chao ye shi qi
侮辱之语睚眦必报	wu ru zhi yu ya zi bi bao
五无其一	wu wu qi yi
物有所用	wu you suo yong
武雨泽	wu yu ze
无足道也	wu zu dao ye
细细品味	xi xi pin wei
西有大秦	xi you da qin
夏侯镔	xia hou bin
献公即位欲图振兴	xian gong ji wei yu tu zhen xing
先生终显大才本色啊	xian sheng zhong xian da cai ben shai a
小魏伶优	xiao wei ling you
斜阳浊酒	xie yang zhuo jiu
心境非昨	xin jing fei zuo
信君如信我	xin jun ru xin wo
形大于神者迂	xing da yu shen zhe yu
邢佳栋	xing jia dong
徐东生	xu dong sheng
许敏	xu min
宣太后	xuan tai hou
悬崖不勒马的是王	xuan ya bu le ma de shi wang
雪白的长须拂过脸颊	xue bai de chang xu fu guo lian jia
血不流干	xue bu liu gan
薛继军	xue ji jun
雪原营涛	xue yuan ying tao
雅言纯正	ya yan chun zheng
眼高手低	yan gao shou di
燕燕于飞	yan yan yu fei
言之辱也	yan zhi ru ye
杨志刚	yang zhi gang
要放眼于天下	yao fang yan yu tian xia
要谨防对手策动内乱	yao jin fang dui shou ce dong nei luan
也需持节自立	ye xu chi jie zi li
叶阳	ye yang
也足矣	ye zu yi
以此心入仕途	yi ci xin ru shi tu
以法治防范恶意	yi fa zhi fang fan e yi
以法治疏导人性	yi fa zhi shu dao ren xing
一国对六国	yi guo dui liu guo
以乐其好而逐其他	yi le qi hao er zhu qi ta
一谋之功	yi mou zhi gong
一谋之过	yi mou zhi guo
义渠骇	yi qu hai
伊阙	yi que
亦是天道人道	yi shi tian dao ren dao
一竖	yi shu
一竖乃参通天地人者	yi shu nai can tong tian di ren zhe
以术治派为法家全貌	yi shu zhi pai wei fa jia quan mao
以为世人鉴戒	yi wei shi ren jian jie
一样孤零	yi yang gu ling
以义行之	yi yi xing zhi
饮恨身亡	yin hen shen wang
尹静	yin jing
因人性有恶	yin ren xing you e
阴阳谶诲不足以断大事	yin yang chen hui bu zu yi duan da shi
殷殷荐我	yin yin jian wo
殷殷惊我	yin yin jing wo
郢都	ying dou
嬴芾	ying fu
嬴疾	ying ji
嬴稷	ying ji
嬴摎	ying jiao
嬴悝	ying kui
应强	ying qiang
赢渠梁对天明誓	ying qu liang dui tian ming shi
嬴渠梁明告天下	ying qu liang ming gao tian xia
嬴壮	ying zhuang
嬴倬	ying zhuo
永不相负	yong bu xiang fu
勇不足以临机决断	yong bu zu yi lin ji jue duan
用得其所	yong de qi suo
拥强悍之民而兵弱	yong qiang han zhi min er bing ruo
庸者下	yong zhe xia
有此五者	you ci wu zhe
有酒便好	you jiu bian hao
由人而神	you ren er shen
由神而鬼	you shen er gui
忧心如醉	you xin ru zui
悠悠可期	you you ke qi
悠悠难归	you you nan gui
幽幽吴钩共秦剑	you you wu gou gong qin jian
与搬弄权谋有天壤之别	yu ban nong quan mou you tian rang zhi bie
与本公共治秦国	yu ben gong gong zhi qin guo
遇常君则弱	yu chang jun ze ruo
雨打风吹	yu da feng chui
于公器之道实为偏执	yu gong qi zhi dao shi wei pian zhi
于后世千秋万代	yu hou shi qian qiu wan dai
遇昏君则亡	yu hun jun ze wang
遇明君则强	yu ming jun ze qiang
与前述三道天壤之别	yu qian shu san dao tian rang zhi bie
虞卿	yu qing
与逝者的哀伤澎湃也绝非一物	yu shi zhe de ai shang peng pai ye jue fei yi wu
玉王同字	yu wang tong zi
预先立法	yu xian li fa
宇宙被造物围	yu zhou bei zao wu wei
玉字	yu zi
玉字三横一竖	yu zi san heng yi shu
远送于野	yuan song yu ye
愿闻卫鞅之论	yuan wen wei yang zhi lun
原雨	yuan yu
愿与秦军对等骑兵结阵冲杀	yuan yu qin jun dui deng qi bing jie zhen chong sha
再会便好	zai hui bian hao
在秦无险	zai qin wu xian
赞赏之言喜不自禁	zan shang zhi yan xi bu zi jin
造物最终又被芸芸众生围	zao wu zui zhong you bei yun yun zhong sheng wei
则公器化为私道	ze gong qi hua wei si dao
战必胜的强大新军	zhan bi sheng de qiang da xin jun
瞻望弗及	zhan wang fu ji
张博	zhang bo
张迪	zhang di
张晶伟	zhang jing wei
张译文	zhang yi wen
赵豹	zhao bao
赵纯阳	zhao chun yang
赵惠文王	zhao hui wen wang
赵括	zhao kuo
赵括母	zhao kuo mu
赵栗	zhao li
赵麟	zhao lin
赵蔓	zhao man
朝秦暮楚	zhao qin mu chu
赵奢	zhao she
赵胜	zhao sheng
赵娃	zhao wa
赵孝成王	zhao xiao cheng wang
昭阳	zhao yang
昭昭日月不同弦	zhao zhao ri yue bu tong xian
真情天道	zhen qing tian dao
真正的大伪之言	zhen zheng de da wei zhi yan
郑安平	zheng an ping
郑好	zheng hao
正合天地万物之法则	zheng he tian di wan wu zhi fa ze
郑天庸	zheng tian yong
正心而矣	zheng xin er yi
智不足以通权变	zhi bu zu yi tong quan bian
知向谁边兮	zhi xiang shui bian xi
只因自我认知不够	zhi yin zi wo ren zhi bu gou
知足者	zhi zu zhe
终不告之	zhong bu gao zhi
终不能成	zhong bu neng cheng
终不能纳百川	zhong bu neng na bai chuan
终将大毁也	zhong jiang da hui ye
终将自毁	zhong jiang zi hui
终我一生	zhong wo yi sheng
终有尽时	zhong you jin shi
中有所得	zhong you suo de
周波	zhou bo
周乐	zhou le
主帅有失	zhu shuai you shi
壮年列国漂泊	zhuang nian lie guo piao bo
自安者	zi an zhe
自当修身养性	zi dang xiu shen yang xing
子兰	zi lan
自穆公称霸	zi mu gong cheng ba
自学之始	zi xue zhi shi
自应坦然受之	zi ying tan ran shou zhi
自应有居安思危之觉	zi ying you ju an si wei zhi jue
纵情享乐	zong qing xiang le
足下无端指斥	zu xia wu duan zhi chi
做的事不可渎	zuo de shi bu ke du
坐失鱼盐航运之利	zuo shi yu yan hang yun zhi li
